Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,male,skilled,own,unknown/ no savings account,< 0 DM,1169,6,radio/television,good
22,female,skilled,own,< 100 DM,0 <= ... < 200 DM,5951,48,radio/television,bad
49,male,unskilled and resident,own,< 100 DM,no checking account,2096,12,education,good
45,male,skilled,free,< 100 DM,< 0 DM,7882,42,furniture/equipment,good
53,male,skilled,free,< 100 DM,< 0 DM,4870,24,car (new),bad
35,male,unskilled and resident,free,unknown/ no savings account,no checking account,9055,36,education,good
53,male,skilled,own,500 <= ... < 1000 DM,no checking account,2835,24,furniture/equipment,good
35,male,highly qualified,rent,< 100 DM,0 <= ... < 200 DM,6948,36,car (used),good
61,male,unskilled and resident,own,>= 1000 DM,no checking account,3059,12,radio/television,good
28,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,5234,30,car (new),bad
25,female,skilled,rent,< 100 DM,0 <= ... < 200 DM,1295,12,car (new),bad
24,female,skilled,rent,< 100 DM,< 0 DM,4308,48,business,bad
22,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1567,12,radio/television,good
60,male,unskilled and resident,own,< 100 DM,< 0 DM,1199,24,car (new),bad
28,female,skilled,rent,< 100 DM,< 0 DM,1403,15,car (new),good
32,female,unskilled and resident,own,100 <= ... < 500 DM,< 0 DM,1282,24,radio/television,bad
53,male,skilled,own,unknown/ no savings account,no checking account,2424,24,radio/television,good
25,male,skilled,own,unknown/ no savings account,< 0 DM,8072,30,business,good
44,female,highly qualified,free,< 100 DM,0 <= ... < 200 DM,12579,24,car (used),bad
31,male,skilled,own,500 <= ... < 1000 DM,no checking account,3430,24,radio/television,good
48,male,skilled,own,< 100 DM,no checking account,2134,9,car (new),good
44,male,skilled,rent,500 <= ... < 1000 DM,< 0 DM,2647,6,radio/television,good
48,male,unskilled and resident,rent,< 100 DM,< 0 DM,2241,10,car (new),good
44,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1804,12,car (used),good
26,male,skilled,own,unknown/ no savings account,no checking account,2069,10,furniture/equipment,good
36,male,unskilled and resident,own,< 100 DM,< 0 DM,1374,6,furniture/equipment,good
39,male,unskilled and resident,own,< 100 DM,no checking account,426,6,radio/television,good
42,female,skilled,rent,>= 1000 DM,>= 200 DM / salary assignments for at least 1 year,409,12,radio/television,good
34,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2415,7,radio/television,good
63,male,skilled,own,< 100 DM,< 0 DM,6836,60,business,bad
36,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1913,18,business,good
27,male,skilled,own,< 100 DM,< 0 DM,4020,24,furniture/equipment,good
30,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,5866,18,car (new),good
57,male,unskilled and resident,rent,unknown/ no savings account,no checking account,1264,12,business,good
33,female,highly qualified,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1474,12,furniture/equipment,good
25,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,4746,45,radio/television,bad
31,male,skilled,free,< 100 DM,no checking account,6110,48,education,good
37,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2100,18,radio/television,bad
37,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1225,10,domestic appliances,good
24,male,skilled,own,< 100 DM,0 <= ... < 200 DM,458,9,radio/television,good
30,male,highly qualified,own,500 <= ... < 1000 DM,no checking account,2333,30,radio/television,good
26,male,skilled,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,1158,12,radio/television,good
44,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,6204,18,repairs,good
24,male,skilled,rent,100 <= ... < 500 DM,< 0 DM,6187,30,car (used),good
58,female,unskilled and resident,free,< 100 DM,< 0 DM,6143,48,car (used),bad
35,female,highly qualified,own,< 100 DM,no checking account,1393,11,car (new),good
39,male,skilled,own,500 <= ... < 1000 DM,no checking account,2299,36,radio/television,good
23,female,unskilled and non-resident,rent,500 <= ... < 1000 DM,< 0 DM,1352,6,car (used),good
39,male,unskilled and resident,own,< 100 DM,no checking account,7228,11,car (new),good
28,female,skilled,own,100 <= ... < 500 DM,no checking account,2073,12,radio/television,good
